Year,Month,Day,Hour,Minute,Wave Height,Direction Dominant Period,Average Wave Period,Tide
2023,01,10,17,30,0.28,7.69,4.28,99.00
2023,01,10,18,00,0.27,5.13,4.35,99.00
2023,01,10,18,30,0.24,99.00,4.21,99.00
2023,01,10,19,00,0.25,6.90,4.30,99.00
2023,01,10,19,30,0.24,99.00,4.52,99.00
2023,01,10,20,00,0.23,99.00,4.31,99.00
2023,01,10,20,30,0.22,99.00,4.15,99.00
2023,01,10,21,00,0.26,6.25,4.75,99.00
2023,01,10,21,30,0.22,99.00,4.61,99.00
2023,01,10,22,00,0.22,99.00,5.02,99.00
2023,01,10,22,30,0.20,99.00,5.09,99.00
2023,01,10,23,00,0.23,99.00,5.04,99.00
2023,01,10,23,30,0.21,99.00,5.25,99.00
2023,01,11,00,00,0.27,6.25,4.89,99.00
2023,01,11,00,30,0.21,99.00,4.90,99.00
2023,01,11,01,00,0.19,99.00,4.66,99.00
2023,01,11,01,30,0.20,99.00,4.31,99.00
2023,01,11,02,00,0.20,99.00,4.07,99.00
2023,01,11,02,30,0.23,99.00,4.08,99.00
2023,01,11,03,00,0.22,99.00,3.71,99.00
2023,01,11,03,30,0.22,99.00,3.44,99.00
2023,01,11,04,00,0.27,7.14,3.01,99.00
2023,01,11,04,30,0.31,6.67,2.59,99.00
2023,01,11,05,00,0.36,2.78,2.55,99.00
2023,01,11,05,30,0.49,3.17,2.61,99.00
2023,01,11,06,00,0.59,3.13,2.78,99.00
2023,01,11,06,30,0.67,3.70,2.99,99.00
2023,01,11,07,00,0.77,4.17,3.13,99.00
2023,01,11,07,30,0.83,4.26,3.25,99.00
2023,01,11,08,00,0.82,4.44,3.30,99.00
2023,01,11,08,30,0.89,4.08,3.44,99.00
2023,01,11,09,00,0.91,4.65,3.63,99.00
2023,01,11,09,30,0.97,4.44,3.70,99.00
2023,01,11,10,00,1.00,4.76,3.83,99.00
2023,01,11,10,30,1.03,5.00,3.97,99.00
2023,01,11,11,00,1.03,5.13,4.01,99.00
2023,01,11,11,30,1.05,5.13,4.09,99.00
2023,01,11,12,00,1.00,5.13,3.99,99.00
2023,01,11,12,30,1.08,5.13,4.19,99.00
2023,01,11,13,00,1.08,5.00,4.16,99.00
2023,01,11,13,30,1.03,5.13,4.17,99.00
2023,01,11,14,00,1.05,5.41,4.22,99.00
2023,01,11,14,30,1.05,5.41,4.33,99.00
2023,01,11,15,00,1.06,5.41,4.36,99.00
2023,01,11,15,30,1.00,5.56,4.31,99.00
2023,01,11,16,00,1.00,5.41,4.29,99.00
2023,01,11,16,30,1.05,5.13,4.42,99.00
2023,01,11,17,00,0.99,5.26,4.31,99.00
2023,01,11,17,30,1.04,5.26,4.32,99.00
