#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 02 21 00 999 99.0 99.0  0.49  5.56  3.95 187 9999.0  19.2  17.3 999.0 99.0 99.00
2023 01 02 21 30 999 99.0 99.0  0.49  5.41  3.51 190 9999.0  19.1  17.4 999.0 99.0 99.00
2023 01 02 22 00 999 99.0 99.0  0.49  5.00  3.29 185 9999.0  19.0  17.3 999.0 99.0 99.00
2023 01 02 22 30 999 99.0 99.0  0.55  5.00  3.36 185 9999.0  18.9  17.1 999.0 99.0 99.00
2023 01 02 23 00 999 99.0 99.0  0.57  4.88  3.28 183 9999.0  18.3  17.1 999.0 99.0 99.00
2023 01 02 23 30 999 99.0 99.0  0.56  4.88  3.40 190 9999.0  18.2  17.1 999.0 99.0 99.00
2023 01 03 00 00 999 99.0 99.0  0.60  4.88  3.53 192 9999.0  17.9  17.0 999.0 99.0 99.00
2023 01 03 00 30 999 99.0 99.0  0.58  5.00  3.58 175 9999.0  18.0  16.8 999.0 99.0 99.00
2023 01 03 01 00 999 99.0 99.0  0.58  5.26  3.69 191 9999.0  17.6  16.8 999.0 99.0 99.00
2023 01 03 01 30 999 99.0 99.0  0.59  5.00  3.80 187 9999.0  17.5  16.7 999.0 99.0 99.00
2023 01 03 02 00 999 99.0 99.0  0.57  5.00  3.77 183 9999.0  17.8  16.7 999.0 99.0 99.00
2023 01 03 02 30 999 99.0 99.0  0.63  5.13  3.79 191 9999.0  18.1  16.9 999.0 99.0 99.00
2023 01 03 03 00 999 99.0 99.0  0.65  5.56  4.04 156 9999.0  17.9  16.6 999.0 99.0 99.00
2023 01 03 03 30 999 99.0 99.0  0.69  5.41  4.11 168 9999.0  17.7  16.5 999.0 99.0 99.00
2023 01 03 04 00 999 99.0 99.0  0.73  6.06  4.35 156 9999.0  17.8  16.3 999.0 99.0 99.00
2023 01 03 04 30 999 99.0 99.0  0.69  6.06  4.34 154 9999.0  17.8  16.1 999.0 99.0 99.00
2023 01 03 05 00 999 99.0 99.0  0.74  6.06  4.56 150 9999.0  17.4  16.0 999.0 99.0 99.00
2023 01 03 05 30 999 99.0 99.0  0.77  6.06  4.60 151 9999.0  17.4  15.9 999.0 99.0 99.00
2023 01 03 06 00 999 99.0 99.0  0.81  6.06  4.64 158 9999.0  17.8  15.8 999.0 99.0 99.00
2023 01 03 06 30 999 99.0 99.0  0.89  6.45  4.64 154 9999.0  17.6  15.9 999.0 99.0 99.00
2023 01 03 08 30 999 99.0 99.0  0.96  6.06  4.72 175 9999.0  17.7  16.0 999.0 99.0 99.00
2023 01 03 09 00 999 99.0 99.0  0.92  6.25  4.56 169 9999.0  17.6  16.3 999.0 99.0 99.00
2023 01 03 09 30 999 99.0 99.0  0.95  6.25  4.72 162 9999.0  17.5  16.4 999.0 99.0 99.00
2023 01 03 11 00 999 99.0 99.0  0.97  6.25  4.98 173 9999.0  17.2  16.4 999.0 99.0 99.00
2023 01 03 11 30 999 99.0 99.0  0.94  6.67  5.01 161 9999.0  17.1  16.5 999.0 99.0 99.00
2023 01 03 12 00 999 99.0 99.0  1.02  6.45  5.19 168 9999.0  17.3  16.6 999.0 99.0 99.00
2023 01 03 12 30 999 99.0 99.0  1.05  6.67  5.34 152 9999.0  17.3  16.7 999.0 99.0 99.00
2023 01 03 13 00 999 99.0 99.0  1.08  6.45  5.30 159 9999.0  17.7  16.8 999.0 99.0 99.00
2023 01 03 13 30 999 99.0 99.0  1.10  6.45  5.27 165 9999.0  18.1  17.5 999.0 99.0 99.00
2023 01 03 14 00 999 99.0 99.0  1.26  6.67  5.40 166 9999.0  18.9  17.8 999.0 99.0 99.00
2023 01 03 14 30 999 99.0 99.0  1.16  6.90  5.29 161 9999.0  19.1  17.9 999.0 99.0 99.00
2023 01 03 15 00 999 99.0 99.0  1.26  6.90  5.40 161 9999.0  19.8  18.1 999.0 99.0 99.00
2023 01 03 15 30 999 99.0 99.0  1.24  6.25  5.32 173 9999.0  20.2  18.7 999.0 99.0 99.00
2023 01 03 16 00 999 99.0 99.0  1.27  6.90  5.35 156 9999.0  20.4  19.0 999.0 99.0 99.00
2023 01 03 16 30 999 99.0 99.0  1.21  6.45  5.31 158 9999.0  20.9  19.3 999.0 99.0 99.00
2023 01 03 17 00 999 99.0 99.0  1.25  6.90  5.33 157 9999.0  21.2  19.4 999.0 99.0 99.00
2023 01 03 17 30 999 99.0 99.0  1.26  6.90  5.23 176 9999.0  21.4  19.5 999.0 99.0 99.00
2023 01 03 18 00 999 99.0 99.0  1.38  6.90  5.36 169 9999.0  21.0  19.5 999.0 99.0 99.00
2023 01 03 18 30 999 99.0 99.0  1.39  7.14  5.33 160 9999.0  21.0  19.5 999.0 99.0 99.00
2023 01 03 19 00 999 99.0 99.0  1.36  6.90  5.27 168 9999.0  21.3  19.5 999.0 99.0 99.00
2023 01 03 19 30 999 99.0 99.0  1.56  7.14  5.60 156 9999.0  20.6  19.5 999.0 99.0 99.00
2023 01 03 20 00 999 99.0 99.0  1.48  7.41  5.62 163 9999.0  20.6  19.5 999.0 99.0 99.00
2023 01 03 20 30 999 99.0 99.0  1.49  7.41  5.63 162 9999.0  20.5  19.5 999.0 99.0 99.00
2023 01 03 21 00 999 99.0 99.0  1.50  6.90  5.59 173 9999.0  20.5  19.6 999.0 99.0 99.00
2023 01 03 21 30 999 99.0 99.0  1.43  7.41  5.63 151 9999.0  20.4  19.6 999.0 99.0 99.00
2023 01 03 22 00 999 99.0 99.0  1.58  7.14  5.77 166 9999.0  20.3  19.6 999.0 99.0 99.00
2023 01 03 22 30 999 99.0 99.0  1.43  7.69  5.71 172 9999.0  20.4  19.6 999.0 99.0 99.00
2023 01 03 23 00 999 99.0 99.0  1.54  7.41  5.92 164 9999.0  20.4  19.5 999.0 99.0 99.00
2023 01 03 23 30 999 99.0 99.0  1.45  7.69  5.84 164 9999.0  20.2  19.5 999.0 99.0 99.00
2023 01 04 00 00 999 99.0 99.0  1.48  7.41  6.00 166 9999.0  20.2  19.4 999.0 99.0 99.00
2023 01 04 00 30 999 99.0 99.0  1.53  7.69  6.02 171 9999.0  20.3  19.4 999.0 99.0 99.00
2023 01 04 01 00 999 99.0 99.0  1.57  7.69  6.05 167 9999.0  20.2  19.5 999.0 99.0 99.00
2023 01 04 01 30 999 99.0 99.0  1.59  8.00  6.07 176 9999.0  20.3  19.6 999.0 99.0 99.00
2023 01 04 02 00 999 99.0 99.0  1.53  8.00  5.94 167 9999.0  20.3  19.7 999.0 99.0 99.00
2023 01 04 02 30 999 99.0 99.0  1.57  8.00  6.08 170 9999.0  20.3  19.7 999.0 99.0 99.00
2023 01 04 03 00 999 99.0 99.0  1.55  7.69  6.01 169 9999.0  20.0  19.7 999.0 99.0 99.00
2023 01 04 03 30 999 99.0 99.0  1.71  7.69  6.09 171 9999.0  20.3  19.7 999.0 99.0 99.00
2023 01 04 04 00 999 99.0 99.0  1.53  8.00  5.80 164 9999.0  20.4  19.7 999.0 99.0 99.00
2023 01 04 04 30 999 99.0 99.0  1.66  7.69  5.83 163 9999.0  20.7  19.8 999.0 99.0 99.00
2023 01 04 05 00 999 99.0 99.0  1.59  8.00  5.83 164 9999.0  20.7  19.9 999.0 99.0 99.00
2023 01 04 05 30 999 99.0 99.0  1.67  8.00  5.88 161 9999.0  21.0  19.9 999.0 99.0 99.00
2023 01 04 06 00 999 99.0 99.0  1.53  7.69  5.55 164 9999.0  20.9  20.0 999.0 99.0 99.00
2023 01 04 06 30 999 99.0 99.0  1.54  8.00  5.39 159 9999.0  21.0  20.1 999.0 99.0 99.00
2023 01 04 07 00 999 99.0 99.0  1.68  7.69  5.41 167 9999.0  21.0  20.2 999.0 99.0 99.00
2023 01 04 07 30 999 99.0 99.0  1.67  8.00  5.28 166 9999.0  21.0  20.2 999.0 99.0 99.00
2023 01 04 08 00 999 99.0 99.0  1.67  8.00  5.26 161 9999.0  21.0  20.3 999.0 99.0 99.00
2023 01 04 08 30 999 99.0 99.0  1.61  7.41  5.17 167 9999.0  21.4  20.3 999.0 99.0 99.00
2023 01 04 09 00 999 99.0 99.0  1.63  7.69  5.39 162 9999.0  20.9  20.3 999.0 99.0 99.00
2023 01 04 09 30 999 99.0 99.0  1.51  8.33  5.20 158 9999.0  21.8  20.4 999.0 99.0 99.00
2023 01 04 10 00 999 99.0 99.0  1.70  8.00  5.24 155 9999.0 999.0  20.4 999.0 99.0 99.00
